sample_id,category,article_id,h2_number,image_path,visible_candidate,confidence,location,description,visual_confirmation_only,speculation,response_time_sec,parse_success,raw_response
vlm_0011,B_small_unclear,R02-028,#2_028,data/vlm_eval_set/20260625/images/vlm_0011_DOW-UAP-PR041_Unresolved_UAP_Report_Middle_East_2020_frame_0005.png,False,0.1,中央やや左上,不明瞭な光のスポット,True,False,5.31,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや左上"",
  ""description"": ""不明瞭な光のスポット"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0012,B_small_unclear,R02-028,#2_028,data/vlm_eval_set/20260625/images/vlm_0012_DOW-UAP-PR041_Unresolved_UAP_Report_Middle_East_2020_frame_0010.png,False,0.1,中央やや右上,不明瞭な光点、背景との明確な区別が困難,True,False,5.37,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや右上"",
  ""description"": ""不明瞭な光点、背景との明確な区別が困難"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0013,B_small_unclear,R02-029,#2_029,data/vlm_eval_set/20260625/images/vlm_0013_DOW-UAP-PR042_Unresolved_UAP_Report_Middle_East_2020_frame_0000.png,False,0.1,中央やや下,微小な光点、背景との明確な区別は困難,True,False,5.41,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや下"",
  ""description"": ""微小な光点、背景との明確な区別は困難"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0014,B_small_unclear,R02-029,#2_029,data/vlm_eval_set/20260625/images/vlm_0014_DOW-UAP-PR042_Unresolved_UAP_Report_Middle_East_2020_frame_0030.png,False,0.1,中央やや上部,不明瞭な黒い形状、背景との明確な区別は困難。,True,False,5.4,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや上部"",
  ""description"": ""不明瞭な黒い形状、背景との明確な区別は困難。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0015,B_small_unclear,R02-029,#2_029,data/vlm_eval_set/20260625/images/vlm_0015_DOW-UAP-PR042_Unresolved_UAP_Report_Middle_East_2020_frame_0060.png,False,0.1,中央やや下,微小な光点、背景との明確な区別は困難,True,False,5.32,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや下"",
  ""description"": ""微小な光点、背景との明確な区別は困難"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0016,C_no_visible_target,R02-030,#2_030,data/vlm_eval_set/20260625/images/vlm_0016_DOW-UAP-PR043_Unresolved_UAP_Report_Africa_2025_frame_0000.png,False,0.1,中央やや左上,不明瞭な形状、暗い背景との区別が困難。,True,False,5.32,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや左上"",
  ""description"": ""不明瞭な形状、暗い背景との区別が困難。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0017,C_no_visible_target,R02-030,#2_030,data/vlm_eval_set/20260625/images/vlm_0017_DOW-UAP-PR043_Unresolved_UAP_Report_Africa_2025_frame_0005.png,False,0.1,中央やや左上,不明瞭な形状、暗い背景に浮かぶ,True,False,5.37,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや左上"",
  ""description"": ""不明瞭な形状、暗い背景に浮かぶ"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0018,C_no_visible_target,R02-030,#2_030,data/vlm_eval_set/20260625/images/vlm_0018_DOW-UAP-PR043_Unresolved_UAP_Report_Africa_2025_frame_0010.png,False,0.1,中央やや左上,不明瞭な形状、暗い背景に浮かぶ。,True,False,5.34,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや左上"",
  ""description"": ""不明瞭な形状、暗い背景に浮かぶ。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0019,C_no_visible_target,R02-031,#2_031,data/vlm_eval_set/20260625/images/vlm_0019_DOW-UAP-PR044_Unresolved_UAP_Report_Middle_East_2020_frame_0000.png,True,0.7,中央,不明瞭な形状の暗い物体、背景との明確な区別は困難。,True,False,5.36,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央"",
  ""description"": ""不明瞭な形状の暗い物体、背景との明確な区別は困難。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0020,C_no_visible_target,R02-031,#2_031,data/vlm_eval_set/20260625/images/vlm_0020_DOW-UAP-PR044_Unresolved_UAP_Report_Middle_East_2020_frame_0030.png,False,0.1,中央やや左上,不明瞭な形状、背景との区別困難,True,False,5.29,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや左上"",
  ""description"": ""不明瞭な形状、背景との区別困難"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0021,C_no_visible_target,R02-031,#2_031,data/vlm_eval_set/20260625/images/vlm_0021_DOW-UAP-PR044_Unresolved_UAP_Report_Middle_East_2020_frame_0060.png,True,0.7,中央,不明瞭な黒い形状、背景との明確な区別は難しい。,True,False,5.36,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央"",
  ""description"": ""不明瞭な黒い形状、背景との明確な区別は難しい。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0022,B_small_unclear,R02-032,#2_032,data/vlm_eval_set/20260625/images/vlm_0022_DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020_frame_0000.png,True,0.75,中央上部,紫色の楕円形で、背景より明るい。,True,False,5.34,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.75,
  ""location"": ""中央上部"",
  ""description"": ""紫色の楕円形で、背景より明るい。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0023,B_small_unclear,R02-032,#2_032,data/vlm_eval_set/20260625/images/vlm_0023_DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020_frame_0005.png,True,0.8,中央上部,紫色の光と黒い矩形の組み合わせ,True,False,5.35,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光と黒い矩形の組み合わせ"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0024,B_small_unclear,R02-032,#2_032,data/vlm_eval_set/20260625/images/vlm_0024_DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020_frame_0010.png,True,0.8,中央上部,ピンク色の光と周囲の黒い矩形,True,False,5.33,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""ピンク色の光と周囲の黒い矩形"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0025,A_clear_candidate,R02-033,#2_033,data/vlm_eval_set/20260625/images/vlm_0025_DOW-UAP-PR046_Unresolved_UAP_Report_INDOPACOM_2024_frame_0000.png,True,0.7,中央やや右上,不明瞭な形状、暗い背景に浮かび上がる,True,False,5.29,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや右上"",
  ""description"": ""不明瞭な形状、暗い背景に浮かび上がる"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0026,A_clear_candidate,R02-033,#2_033,data/vlm_eval_set/20260625/images/vlm_0026_DOW-UAP-PR046_Unresolved_UAP_Report_INDOPACOM_2024_frame_0005.png,True,0.7,中央やや上部,不明瞭な形状、暗い背景に浮かび上がる,True,False,5.36,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや上部"",
  ""description"": ""不明瞭な形状、暗い背景に浮かび上がる"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0027,B_small_unclear,R02-034,#2_034,data/vlm_eval_set/20260625/images/vlm_0027_DOW-UAP-PR047_Unresolved_UAP_Report_INDOPACOM_2023_frame_0000.png,False,0.1,中央,不明瞭な円形の影,True,False,5.17,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央"",
  ""description"": ""不明瞭な円形の影"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0028,B_small_unclear,R02-034,#2_034,data/vlm_eval_set/20260625/images/vlm_0028_DOW-UAP-PR047_Unresolved_UAP_Report_INDOPACOM_2023_frame_0005.png,False,0.1,中央,赤い円形の対象物,True,False,5.21,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央"",
  ""description"": ""赤い円形の対象物"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0029,B_small_unclear,R02-034,#2_034,data/vlm_eval_set/20260625/images/vlm_0029_DOW-UAP-PR047_Unresolved_UAP_Report_INDOPACOM_2023_frame_0010.png,True,0.7,中央,小さな光点、背景より明るい。,True,False,5.24,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央"",
  ""description"": ""小さな光点、背景より明るい。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0030,B_small_unclear,R02-035,#2_035,data/vlm_eval_set/20260625/images/vlm_0030_DOW-UAP-PR048_Unresolved_UAP_Report_INDOPACOM_2024_frame_0000.png,False,0.1,中央やや上部,小さな光点、背景と明確に区別できる,True,False,5.36,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや上部"",
  ""description"": ""小さな光点、背景と明確に区別できる"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0031,B_small_unclear,R02-035,#2_035,data/vlm_eval_set/20260625/images/vlm_0031_DOW-UAP-PR048_Unresolved_UAP_Report_INDOPACOM_2024_frame_0005.png,False,0.1,中央やや上部,微小な光点、背景との明確な区別は困難,True,False,5.4,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや上部"",
  ""description"": ""微小な光点、背景との明確な区別は困難"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0032,B_small_unclear,R02-035,#2_035,data/vlm_eval_set/20260625/images/vlm_0032_DOW-UAP-PR048_Unresolved_UAP_Report_INDOPACOM_2024_frame_0010.png,False,0.1,中央やや上部,小さな光点、背景との明確な区別は困難,True,False,5.38,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや上部"",
  ""description"": ""小さな光点、背景との明確な区別は困難"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0033,C_no_visible_target,R02-036,#2_036,data/vlm_eval_set/20260625/images/vlm_0033_DOW-UAP-PR049_Unresolved_UAP_Report_Department_of_the_Army_2026_frame_0000.png,True,0.7,中央,白い線と点の集合、背景との明確な区別,True,False,5.33,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央"",
  ""description"": ""白い線と点の集合、背景との明確な区別"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0034,C_no_visible_target,R02-036,#2_036,data/vlm_eval_set/20260625/images/vlm_0034_DOW-UAP-PR049_Unresolved_UAP_Report_Department_of_the_Army_2026_frame_0005.png,False,0.1,右上,不明瞭な光点、背景との明確な区別は困難。,True,False,5.36,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""右上"",
  ""description"": ""不明瞭な光点、背景との明確な区別は困難。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0035,C_no_visible_target,R02-036,#2_036,data/vlm_eval_set/20260625/images/vlm_0035_DOW-UAP-PR049_Unresolved_UAP_Report_Department_of_the_Army_2026_frame_0010.png,False,0.1,右上,小さな光点、背景との明確な区別は困難,True,False,5.29,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""右上"",
  ""description"": ""小さな光点、背景との明確な区別は困難"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0036,B_small_unclear,R02-037,#2_037,data/vlm_eval_set/20260625/images/vlm_0036_FBI-UAP-PR001_Triangle_Orbs_Northeastern_United_States_2021_frame_0000.png,False,0.1,中央やや下,微小な光点、背景との明確な区別は困難,True,False,5.44,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや下"",
  ""description"": ""微小な光点、背景との明確な区別は困難"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0037,B_small_unclear,R02-037,#2_037,data/vlm_eval_set/20260625/images/vlm_0037_FBI-UAP-PR001_Triangle_Orbs_Northeastern_United_States_2021_frame_0030.png,True,0.7,中央やや下,小さな白い光、背景との明確な区別あり,True,False,5.33,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや下"",
  ""description"": ""小さな白い光、背景との明確な区別あり"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0038,B_small_unclear,R02-037,#2_037,data/vlm_eval_set/20260625/images/vlm_0038_FBI-UAP-PR001_Triangle_Orbs_Northeastern_United_States_2021_frame_0060.png,False,0.1,画面右上,微かな光点、背景との明確な区別は困難,True,False,5.37,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""画面右上"",
  ""description"": ""微かな光点、背景との明確な区別は困難"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0039,A_clear_candidate,R02-038,#2_038,data/vlm_eval_set/20260625/images/vlm_0039_FBI-UAP-PR002_Red_Orb_Rotation_Northeastern_United_States_2022_frame_0000.png,True,0.7,中央やや上,赤い光点、周囲は完全に暗闇,True,False,5.41,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや上"",
  ""description"": ""赤い光点、周囲は完全に暗闇"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0040,A_clear_candidate,R02-038,#2_038,data/vlm_eval_set/20260625/images/vlm_0040_FBI-UAP-PR002_Red_Orb_Rotation_Northeastern_United_States_2022_frame_0030.png,True,0.7,中央やや右上,赤い光の球体、背景との明確な区別あり,True,False,5.36,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや右上"",
  ""description"": ""赤い光の球体、背景との明確な区別あり"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0041,A_clear_candidate,R02-038,#2_038,data/vlm_eval_set/20260625/images/vlm_0041_FBI-UAP-PR002_Red_Orb_Rotation_Northeastern_United_States_2022_frame_0060.png,True,0.7,中央やや左上,赤い円形の光、周囲は暗く背景との对比が強い,True,False,5.38,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや左上"",
  ""description"": ""赤い円形の光、周囲は暗く背景との对比が強い"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0042,A_clear_candidate,R02-039,#2_039,data/vlm_eval_set/20260625/images/vlm_0042_FBI-UAP-PR003_Orbs_Over_the_Pond_2024_frame_0000.png,True,0.7,中央上部,白い光点、周囲は暗く、背景との明確な区別がある。,True,False,5.41,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央上部"",
  ""description"": ""白い光点、周囲は暗く、背景との明確な区別がある。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0043,A_clear_candidate,R02-039,#2_039,data/vlm_eval_set/20260625/images/vlm_0043_FBI-UAP-PR003_Orbs_Over_the_Pond_2024_frame_0030.png,True,0.7,中央やや上部,白い光点、周囲は暗く、背景との明確な区別あり。,True,False,5.41,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや上部"",
  ""description"": ""白い光点、周囲は暗く、背景との明確な区別あり。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0044,A_clear_candidate,R02-039,#2_039,data/vlm_eval_set/20260625/images/vlm_0044_FBI-UAP-PR003_Orbs_Over_the_Pond_2024_frame_0060.png,True,0.7,中央やや左上,白い光点、背景と明確に区別できる,True,False,5.37,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや左上"",
  ""description"": ""白い光点、背景と明確に区別できる"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0045,C_no_visible_target,R02-040,#2_040,data/vlm_eval_set/20260625/images/vlm_0045_FBI-UAP-PR004_Northeastern_Orb_Sighting_2025_frame_0000.png,True,0.7,中央上部,赤い線状の光、背景との明確な区別あり。,True,False,2.75,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央上部"",
  ""description"": ""赤い線状の光、背景との明確な区別あり。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0046,C_no_visible_target,R02-040,#2_040,data/vlm_eval_set/20260625/images/vlm_0046_FBI-UAP-PR004_Northeastern_Orb_Sighting_2025_frame_0005.png,True,0.7,中央やや左上,小さな光点、背景と明確に区別できる,True,False,2.73,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや左上"",
  ""description"": ""小さな光点、背景と明確に区別できる"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0047,C_no_visible_target,R02-040,#2_040,data/vlm_eval_set/20260625/images/vlm_0047_FBI-UAP-PR004_Northeastern_Orb_Sighting_2025_frame_0010.png,True,0.7,中央やや上部,赤い光点、周囲は暗く、背景との明確な区別,True,False,2.77,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや上部"",
  ""description"": ""赤い光点、周囲は暗く、背景との明確な区別"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0048,D_sensor_ui_background,R02-041,#2_041,data/vlm_eval_set/20260625/images/vlm_0048_FBI-UAP-PR005_Digital_Recreation_Narrative_Statement_3-1_Western_United_States_Event_2023_frame_0000.png,False,0.1,画像全体,暗い背景に浮かぶ不明瞭な形状,True,False,0.74,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""画像全体"",
  ""description"": ""暗い背景に浮かぶ不明瞭な形状"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0049,D_sensor_ui_background,R02-041,#2_041,data/vlm_eval_set/20260625/images/vlm_0049_FBI-UAP-PR005_Digital_Recreation_Narrative_Statement_3-1_Western_United_States_Event_2023_frame_0030.png,True,0.8,右上,黄色い球体、背景に星が見える,True,False,5.22,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""右上"",
  ""description"": ""黄色い球体、背景に星が見える"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0050,D_sensor_ui_background,R02-042,#2_042,data/vlm_eval_set/20260625/images/vlm_0050_FBI-UAP-PR006_Digital_Recreation_Narrative_Statement_3-2_Western_United_States_Event_2023_frame_0000.png,False,0.1,画像全体,暗い背景に浮かぶ不明瞭な光点,True,False,0.74,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""画像全体"",
  ""description"": ""暗い背景に浮かぶ不明瞭な光点"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
