pdf_file,page_number,has_text_layer,extracted_char_count,sample_text,ocr_needed,reason,notes
059uap00013.pdf,1,true,1282,"UNCLASSIFIED UNCLASSIFIED set! MRN: 23 MEXICO 2544 Date/DTG: Sep 16, 2023 / 160150Z SEP 23 From: AMEMBASSY MEXICO Action…",false,embedded text sufficient (1282 chars),"text layer present, OCR not needed"
059uap00013.pdf,2,true,2609,"UNCLASSIFIED process, alleging irregularities. On September 10, Sonora Governor and MORENA National Council President Al…",false,embedded text sufficient (2609 chars),"text layer present, OCR not needed"
059uap00013.pdf,3,true,2292,"UNCLASSIFIED example the auditing commission, tasked with reviewing party expenditures), the pro-MORENA bloc still does …",false,embedded text sufficient (2292 chars),"text layer present, OCR not needed"
059uap00013.pdf,4,true,2402,UNCLASSIFIED ~ Former MORENA Senate Leader Ricardo Monreal Will Not Run for Mexico City Head of Government 7. ~ After fi…,false,embedded text sufficient (2402 chars),"text layer present, OCR not needed"
059uap00013.pdf,5,true,2561,UNCLASSIFIED recently appointed Guerrero state attorney general's office (FGE) regional prosecutor for the Tierra Calien…,false,embedded text sufficient (2561 chars),"text layer present, OCR not needed"
059uap00013.pdf,6,true,756,"UNCLASSIFIED the hearing, Graves lamented the display took away from his and other pilots' experiences with UAP and expr…",false,embedded text sufficient (756 chars),"text layer present, OCR not needed"
059uap00013.pdf,7,true,564,"UNCLASSIFIED Released By: Info: XMT: MEXICO:Moreno, Sergio A NATIONAL SECURITY COUNCIL WASHINGTON DC Routine; WHITE HOUS…",false,embedded text sufficient (564 chars),"text layer present, OCR not needed"
18_100754_ general 1946-7_vol_2.pdf,1,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,2,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,3,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,4,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,5,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,6,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,7,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,8,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,9,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,10,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,11,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,12,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,13,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,14,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,15,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,16,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,17,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,18,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,19,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,20,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,21,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,22,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,23,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,24,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,25,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,26,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,27,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_100754_ general 1946-7_vol_2.pdf,28,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,1,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,2,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,3,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,4,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,5,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,6,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,7,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,8,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,9,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,10,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,11,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,12,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,13,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,14,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,15,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,16,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,17,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,18,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,19,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,20,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,21,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,22,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,23,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,24,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,25,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,26,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,27,false,0,,true,no extractable text found on this page,no text layer; OCR required
18_6369445_general_1948_vol_1.pdf,28,false,0,,true,no extractable text found on this page,no text layer; OCR required
2024-04-30-composite-sketch.pdf,1,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,1,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,2,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,3,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,4,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,5,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,6,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,7,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,8,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,9,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,10,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,11,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,12,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,13,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,14,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,15,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,16,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,17,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,18,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,19,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,20,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,21,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,22,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,23,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,24,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,25,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,26,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,27,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,28,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,29,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,30,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,31,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,32,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,33,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,34,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,35,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,36,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,37,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,38,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,39,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,40,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,41,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,42,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,43,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,44,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,45,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,46,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,47,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,48,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,49,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,50,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,51,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,52,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,53,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,54,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,55,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,56,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,57,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,58,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,59,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,60,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,61,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,62,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,63,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,64,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,65,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,66,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,67,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,68,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,69,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,70,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,71,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,72,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,73,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,74,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,75,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,76,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,77,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,78,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,79,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,80,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,81,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,82,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,83,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,84,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,85,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,86,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,87,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,88,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,89,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,90,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,91,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,92,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,93,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,94,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_t_763_r1b_transcripts.pdf,1,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_t_763_r1b_transcripts.pdf,2,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_t_763_r1b_transcripts.pdf,3,false,0,,true,no extractable text found on this page,no text layer; OCR required
255_t_763_r1b_transcripts.pdf,4,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,1,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,2,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,3,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,4,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,5,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,6,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,7,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,8,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,9,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,10,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,11,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,12,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,13,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,14,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,15,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,16,false,0,,true,no extractable text found on this page,no text layer; OCR required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,17,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,1,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,2,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,3,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,4,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,5,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,6,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,7,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110677_numerical_file_5-2500.pdf,1,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110677_numerical_file_5-2500.pdf,2,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110677_numerical_file_5-2500.pdf,3,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110677_numerical_file_5-2500.pdf,4,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110677_numerical_file_5-2500.pdf,5,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110677_numerical_file_5-2500.pdf,6,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110677_numerical_file_5-2500.pdf,7,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110677_numerical_file_5-2500.pdf,8,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110677_numerical_file_5-2500.pdf,9,false,0,,true,no extractable text found on this page,no text layer; OCR required
341_110677_numerical_file_5-2500.pdf,10,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,1,partial,32,Authority: DECLASSIFIED NW 91020,true,only 32 chars extracted — possibly page number or header only,"partial text layer detected; may be page numbers, stamps, or OCR artifacts"
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,2,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,3,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,4,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,5,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,6,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,7,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,8,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,9,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,10,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,11,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,12,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,13,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,14,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,15,false,0,,true,no extractable text found on this page,no text layer; OCR required
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,16,false,0,,true,no extractable text found on this page,no text layer; OCR required
